Years,CANumbers,SFNumbers,SVNumbers,CAEarly,SFEarly,SVEarly
98,951,60,308,67,29,15
99,1374,211,485,149,62,33
00,1206,137,418,111,53,18
01,1051,134,283,52,17,11
02,1020,127,318,55,25,6
03,1012,145,324,79,31,16
04,1172,168,363,96,40,18
05,1324,210,397,140,56,23
06,1551,276,456,198,80,44
07,1878,369,493,267,92,70
08,2049,459,534,292,96,76
09,2437,578,586,336,95,95
10,2976,751,748,592,186,180
11,3273,909,829,798,228,266
12,3824,1117,952,993,293,348
13,4107,1308,961,1164,306,419
14,4185,1265,1023,1409,381,489
15,3782,1211,897,1420,374,528
16,2949,934,726,1294,306,506
17,2495,789,594,1129,265,440
18,1495,532,344,739,164,297
19,650,257,130,208,45,99
