Year, Location, Percentages
2007-2019, Silicon Valley, 23.4
2007-2019, Santa Clara & San Mateo Counties, 24.5
2007-2019, San Francisco, 36.7
2007-2019, Alameda County, 16.2
2007-2019, California, 11.8
2007-2019, United States, 8.8
2010-2019, Silicon Valley, 31.6
2010-2019, Santa Clara & San Mateo Counties, 32.7
2010-2019, San Francisco, 39.4
2010-2019, Alameda County, 26.6
2010-2019, California, 21.5
2010-2019, United States, 15.3
2018-2019, Silicon Valley, 1.7
2018-2019, Santa Clara & San Mateo Counties, 1.9
2018-2019, San Francisco, 2.6
2018-2019, Alameda County, 0.5
2018-2019, California, 1.4
2018-2019, United States, 1.1
